STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
20500,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE20500.00,103,1,0.9803921568627452,801,0.0,517.55,-152.60000000000002,-22.771021413116472,246150,8050,100,517.25,500,523.45,19979.15
20550,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE20550.00,2610,-3242,-55.39986329460014,108563,18.61,0.05,-0.7,-93.33333333333331,0,65000,0,0.0,950,0.05,19979.15
20550,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE20550.00,4,0,0.0,0,0.0,0.0,0.0,0.0,9500,5300,600,554.8,400,598.7,19979.15
20600,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE20600.00,10153,-5059,-33.25663949513542,243642,18.9,0.05,-0.5499999999999999,-91.66666666666666,0,134100,0,0.0,71550,0.05,19979.15
20600,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE20600.00,26,0,0.0,0,0.0,0.0,0.0,0.0,9900,5900,600,604.85,600,635.3,19979.15
20650,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE20650.00,10750,1091,11.29516513096594,93402,20.26,0.05,-0.5,-90.9090909090909,0,98550,0,0.0,48150,0.05,19979.15
20650,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE20650.00,5,0,0.0,0,0.0,0.0,0.0,0.0,8700,5100,600,654.8,600,685.75,19979.15
20700,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE20700.00,23375,-4755,-16.903661571276217,296791,21.61,0.05,-0.45,-90.0,0,91350,0,0.0,30400,0.05,19979.15
20700,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE20700.00,20,0,0.0,0,0.0,0.0,0.0,0.0,8600,5100,600,704.85,600,735.3,19979.15
20750,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE20750.00,3885,160,4.295302013422819,86020,22.95,0.05,-0.5,-90.9090909090909,0,73350,0,0.0,9900,0.05,19979.15
20750,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE20750.00,3,0,0.0,0,0.0,0.0,0.0,0.0,8550,5100,600,754.8,600,785.8,19979.15
20800,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE20800.00,14583,-5802,-28.462104488594555,416744,24.28,0.05,-0.5,-90.9090909090909,0,164700,0,0.0,99700,0.05,19979.15
20800,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE20800.00,28,7,33.333333333333336,24,0.0,823.0,-153.45000000000005,-15.715090378411595,9900,7300,1800,803.65,1800,834.65,19979.15
20850,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE20850.00,4580,-431,-8.601077629215725,64669,25.6,0.05,-0.4,-88.8888888888889,0,88950,0,0.0,8750,0.05,19979.15
20850,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE20850.00,3,0,0.0,0,0.0,0.0,0.0,0.0,8350,5100,600,854.8,600,885.8,19979.15
20900,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE20900.00,13245,-1394,-9.522508368057927,203758,26.91,0.05,-0.4,-88.8888888888889,0,118850,0,0.0,55100,0.05,19979.15
20900,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE20900.00,18,0,0.0,0,0.0,0.0,0.0,0.0,8700,5100,1800,903.65,600,935.3,19979.15
20950,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE20950.00,4412,-2509,-36.25198670712325,69497,28.22,0.05,-0.35,-87.5,0,61250,0,0.0,1250,0.05,19979.15
20950,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE20950.00,3,0,0.0,0,0.0,0.0,0.0,0.0,8700,5100,600,954.8,600,985.8,19979.15
21000,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE21000.00,42092,-22259,-34.589983061646286,344930,29.51,0.05,-0.3,-85.71428571428572,0,385900,0,0.0,300850,0.05,19979.15
21000,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE21000.00,27,2,8.0,6,0.0,1022.65,-158.35000000000002,-13.408128704487725,8150,7300,1800,1003.65,1800,1034.65,19979.15
21050,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE21050.00,3668,-1186,-24.43345694272765,39925,30.81,0.05,-0.25,-83.33333333333334,0,90600,0,0.0,23000,0.05,19979.15
21050,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE21050.00,0,0,0.0,0,0.0,0.0,0.0,0.0,4550,4500,50,1040.4,1000,1150.8,19979.15
21100,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE21100.00,5416,864,18.98066783831283,41391,32.09,0.05,-0.25,-83.33333333333334,0,56450,0,0.0,8300,0.05,19979.15
21100,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE21100.00,0,0,0.0,0,0.0,0.0,0.0,0.0,5100,4500,600,1099.85,1000,1194.3,19979.15
21150,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE21150.00,3215,2326,261.6422947131609,21258,33.36,0.05,-0.25,-83.33333333333334,0,77700,0,0.0,39150,0.05,19979.15
21150,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE21150.00,0,0,0.0,0,0.0,0.0,0.0,0.0,4500,4500,1750,1116.25,1000,1253.85,19979.15
21200,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE21200.00,4694,-775,-14.170780764307915,23930,34.63,0.05,-0.25,-83.33333333333334,0,76350,0,0.0,2250,0.05,19979.15
21200,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE21200.00,0,0,0.0,0,0.0,0.0,0.0,0.0,5100,4500,600,1199.85,1000,1289.0,19979.15
21250,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE21250.00,3405,686,25.22986392055903,12945,35.9,0.05,-0.3,-85.71428571428572,0,25050,0,0.0,600,0.15,19979.15
21250,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE21250.00,0,0,0.0,0,0.0,0.0,0.0,0.0,4500,4500,1750,1199.7,1000,1350.25,19979.15
21300,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE21300.00,2046,0,0.0,10532,37.15,0.05,-3.35,-98.52941176470588,0,48450,0,0.0,8050,0.05,19979.15
21300,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE21300.00,0,0,0.0,0,0.0,0.0,0.0,0.0,5100,4500,600,1299.85,1000,1401.9,19979.15
21350,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE21350.00,2039,0,0.0,15104,38.4,0.05,-2.95,-98.33333333333334,0,39050,0,0.0,3950,0.1,19979.15
21350,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE21350.00,0,0,0.0,0,0.0,0.0,0.0,0.0,4500,4500,1750,1297.15,1000,1456.85,19979.15
